jpn;en
埼玉県;Saitama
千葉県;Chiba
東京都;Tokyo
京都府;Kyoto
愛知県;Aichi
神奈川県;Kanagawa
北海道;Hokkaido
福岡県;Fukuoka
栃木県;Tochigi
大阪府;Osaka
宮城県;Miyagi
福島県;Fukushima
大分県;Oita
高知県;Kochi
広島県;Hiroshima
新潟県;Niigata
岡山県;Okayama
愛媛県;Ehime
香川県;Kagawa
徳島県;Tokushima
兵庫県;Hyogo
岐阜県;Gifu
宮崎県;Miyazaki
長崎県;Nagasaki
山梨県;Yamanashi
石川県;Ishikawa
山口県;Yamaguchi
富山県;Toyama
山形県;Yamagata
秋田県;Akita
鳥取県;Tottori
奈良県;Nara
鹿児島県;Kagoshima
三重県;Mie
熊本県;Kumamoto
長野県;Nagano
滋賀県;Shiga
静岡県;Shizuoka
青森県;Aomori
茨城県;Ibaraki
群馬県;Gunma
福井県;Fukui
和歌山県;Wakayama
沖縄県;Okinawa
佐賀県;Saga
島根県;Shimane
岩手県;Iwate
